Introduction to Information Technology	21720	CS 201	1	3	08:45	09:45	MWF	Ayers Hall 357	Lecture	Nathan Lee Mayberry
Introduction to Information Technology	21721	CS 201	2	3	10:00	11:00	MWF	Ayers Hall 357	Lecture	Cynthia Gunter Jensen
Introduction to Information Technology	21722	CS 201	3	3	11:15	12:15	MWF	Ayers Hall 357	Lecture	Cynthia Gunter Jensen
Introduction to Information Technology	21723	CS 201	4	3	12:30	13:30	MWF	Ayers Hall 357	Lecture	Cynthia Gunter Jensen
Introduction to Information Technology	21724	CS 201	5	3	13:45	14:45	MWF	Ayers Hall 357	Lecture	Cynthia Gunter Jensen
Introduction to Information Technology	21725	CS 201	6	3	09:15	10:45	TR	Ayers Hall 357	Lecture	Nathan Lee Mayberry
Introduction to Information Technology	21726	CS 201	7	3	11:00	12:30	TR	Ayers Hall 357	Lecture	TBA
Introduction to Information Technology	21727	CS 201	8	3	11:00	12:30	TR	Ayers Hall 359	Lecture	Matthew R Burns
Introduction to Information Technology	21728	CS 201	9	3	12:45	14:15	TR	Ayers Hall 357	Lecture	Matthew R Burns
Introduction to Information Technology	21729	CS 201	10	3	14:30	16:00	TR	Ayers Hall 357	Lecture	Matthew R Burns
Introduction to Information Technology	21730	CS 201	11	3	World Wide Web	Thomas D White				
Introduction to Information Technology	21731	CS 201	12	3	World Wide Web	Cynthia Gunter Jensen				
Fundamentals of Computing	21733	CS 230	1	3	10:00	11:00	MWF	Ayers Hall 257	Lecture	Eric Adelaide Gamess
Fundamentals of Computing	21734	CS 230	2	3	12:30	13:30	MWF	Ayers Hall 257	Lecture	Sajib Datta
Fundamentals of Computing	21735	CS 230	3	3	09:15	10:45	TR	Ayers Hall 363	Lecture	Nathan Lee Mayberry
Computer Programming I	21737	CS 231	1	3	10:00	11:00	MWF	Ayers Hall 363	Lecture	S Krishnaprasad
Computer Programming I	21738	CS 231	2	3	11:15	12:15	MWF	Ayers Hall 363	Lecture	Eric Adelaide Gamess
Computer Programming I	21739	CS 231	3	3	12:45	14:15	TR	Ayers Hall 363	Lecture	Jay W Snellen
Computer Programming II	21740	CS 232	1	3	12:30	13:30	MWF	Ayers Hall 363	Lecture	Eric Adelaide Gamess
Computer Programming II	21741	CS 232	2	3	15:00	16:30	TR	Ayers Hall 363	Lecture	Jay W Snellen
Discrete Computational Structures	21742	CS 234	1	3	09:15	10:45	TR	Ayers Hall 359	Lecture	Monica Trifas
Technical Writing for Computer Science	21743	CS 304	1	3	12:45	14:15	TR	Ayers Hall 257	Lecture	Cynthia Gunter Jensen
Spreadsheet Modeling	21744	CS 305	1	3	World Wide Web	Kihyun Kim				
Embedded and Control Systems Security	21745	CS 308	1	3	13:45	14:45	MWF	Ayers Hall 261	Lecture	Jay W Snellen
Software Engineering I	21746	CS 310	1	3	11:15	12:15	MWF	Ayers Hall 259	Lecture	Jay W Snellen
Mangement Information Systems	21747	CS 311	1	3	11:00	12:30	TR	Ayers Hall 363	Lecture	Kihyun Kim
Intro to Web Design	21748	CS 315	1	3	09:15	10:45	TR	Ayers Hall 257	Lecture	Matthew R Burns
Computer Organization and Architecture	21749	CS 333	1	3	09:15	10:45	TR	Ayers Hall 214	Lecture	S Krishnaprasad
Game Design I	21750	CS 339	1	3	10:00	11:00	MWF	Ayers Hall 259	Lecture	David C Thornton
Fundamentals of Computer Operating Systems	21751	CS 350	1	3	14:30	16:00	TR 	Ayers Hall 218	Lecture	S Krishnaprasad
Computer Networking	21752	CS 450	1	3	16:30	18:00	MW	Ayers Hall 222	Lecture	Guillermo A Francia
Critical Infrastructure	21753	CS 461	1	3	World Wide Web	Jeffrey M Van Slyke, Jeff R Ryan				
Ethics and Legal Issues	21754	CS 462	1	3	13:45	14:45	MWF	Ayers Hall 253	Lecture	Cynthia Gunter Jensen
Computer Security	21755	CS 470	1	3	World Wide Web	Guillermo A Francia				
Database Systems	21756	CS 488	1	3	11:00	12:30	TR	Ayers Hall 336	Lecture	Monica Trifas
Software Engineering II	21757	CS 491	1	3	12:30	13:30	MWF	Ayers Hall 259	Lecture	David C Thornton
Applied Software Engineering II	21758	CS 523	1	3	Blended 51-99% online	Kihyun Kim				
Human-Computer Interaction	21759	CS 530	1	3	Blended 51-99% online	Monica Trifas				
Embedded and Real-Time Software Development	21927	CS 565	1	3	Blended 51-99% online	S Krishnaprasad				
Advanced Computer Security	21928	CS 570	1	3	Blended 51-99% online	Guillermo A Francia				
Intermediate Algebra for Precalculus	21929	MS 100	1	3	12:30	13:30	MWF	Ayers Hall 218	Lecture	Janice Lynn Case
Intermediate Algebra for Precalculus	21930	MS 100	2	3	09:15	10:45	TR	Ayers Hall 218	Lecture	Janice Lynn Case
Intermediate Algebra for Precalculus	22199	MS 100	100	3	08:45	11:00	MTWF	Houston Cole Library B03	Lecture	Curtis L Gladen
Intermediate Algebra for Finite Mathematics	22397	MS 107	1	3	10:00	11:00	MWF	Ayers Hall 218 	Lecture	Janice Lynn Case
Intermediate Algebra for Finite Mathematics	22398	MS 107	2	3	11:00	12:30	TR	Ayers Hall 218	Lecture	Janice Lynn Case
Finite Mathematics	21933	MS 110	1	3	08:45	09:45	MWF	Ayers Hall 114	Lecture	J Steve White
Finite Mathematics	21934	MS 110	2	3	10:00	11:00	MWF	Ayers Hall 114	Lecture	J Steve White
Finite Mathematics	21935	MS 110	3	3	09:15	10:45	TR	Ayers Hall 114	Lecture	Jessica Warren Bentley
Finite Mathematics	21936	MS 110	4	3	11:00	12:30	TR	Ayers Hall 114	Lecture	Jessica Warren Bentley
Finite Mathematics	21937	MS 110	5	3	12:45	14:15	TR	Ayers Hall 114	Lecture	Jessica Warren Bentley
Finite Mathematics	21938	MS 110	6	3	14:30	16:00	TR	Ayers Hall 114	Lecture	Jessica Warren Bentley
Finite Mathematics	21939	MS 110	7	3	World Wide Web	Amy Paige Franklin				
Precalculus Algebra	21940	MS 112	1	3	08:45	09:45	MWF	Ayers Hall 220	Lecture	Jaedeok Kim
Precalculus Algebra	21941	MS 112	2	3	10:00	11:00	MWF	Ayers Hall 220	Lecture	Daniel E Smith
Precalculus Algebra	21942	MS 112	3	3	11:15	12:15	MWF	Ayers Hall 220	Lecture	Daniel E Smith
Precalculus Algebra	21943	MS 112	4	3	12:30	13:30	MWF	Ayers Hall 220	Lecture	Daniel E Smith
Precalculus Algebra	21944	MS 112	5	3	15:00	16:30	MW	Ayers Hall 220	Lecture	J Steve White
Precalculus Algebra	21945	MS 112	6	3	16:30	18:00	MW	Ayers Hall 220	Lecture	Elaine Michelle Page
Precalculus Algebra	21946	MS 112	7	3	09:15	10:45	TR	Ayers Hall 220	Lecture	Heather Black McDivitt
Precalculus Algebra	21947	MS 112	8	3	11:00	12:30	TR	Ayers Hall 220	Lecture	Amy Paige Franklin
Precalculus Algebra	21948	MS 112	9	3	12:45	14:15	TR	Ayers Hall 220	Lecture	Heather Black McDivitt
Precalculus Algebra	21949	MS 112	10	3	14:30	16:00	TR	Ayers Hall 118	Lecture	Clint Adam Stanley
Precalculus Algebra	21950	MS 112	11	3	16:30	18:00	TR	Ayers Hall 220	Lecture	Elaine Michelle Page
Precalculus Algebra	21951	MS 112	12	3	World Wide Web	Amy Paige Franklin				
Precalculus Trigonometry	21952	MS 113	1	3	12:30	13:30	MWF	Ayers Hall 253	Lecture	Edwin H Smith
Precalculus Trigonometry	21953	MS 113	2	3	11:00	12:30	TR	Ayers Hall 118	Lecture	Robert L Cochran
Precalculus Trigonometry	21954	MS 113	3	3	12:45	14:15	TR	Ayers Hall 118	Lecture	Youngmi Kim
Calculus and Its Applications	21955	MS 120	1	3	16:30	18:00	TR	Ayers Hall 214	Lecture	Daniel E Smith
Calculus I	21956	MS 125	1	4	08:15	09:45	MWF	Ayers Hall 118	Lecture	David Wayne Dempsey
Calculus I	21957	MS 125	2	4	11:15	12:45	MWF	Ayers Hall 216	Lecture	David Wayne Dempsey
Calculus I	21958	MS 125	3	4	16:30	18:00	MTR	Ayers Hall 116	Lecture	Janice Lynn Case
Calculus II	21959	MS 126	1	4	08:15	09:45	MWF	Ayers Hall 116	Lecture	Edwin H Smith
Calculus II	21960	MS 126	2	4	11:15	12:45	MWF	Ayers Hall 116	Lecture	Jaedeok Kim
Mathematical Concepts I	21961	MS 133	1	3	07:30	09:00	MW	Ayers Hall 113	Lecture	Audria A White
Mathematical Concepts I	21962	MS 133	2	3	10:00	11:30	MW	Ayers Hall 113	Lecture	Audria A White
Mathematical Concepts I	21963	MS 133	3	3	12:30	14:00	MW	Ayers Hall 113	Lecture	Heather Black McDivitt
Mathematical Concepts II	21964	MS 134	1	3	07:30	09:00	TR	Ayers Hall 113	Lecture	Audria A White
Mathematical Concepts II	21965	MS 134	2	3	09:15	10:45	TR	Ayers Hall 113	Lecture	Audria A White
Mathematical Concepts III	21966	MS 135	1	3	10:00	11:30	MW	Ayers Hall 118	Lecture	Heather Black McDivitt
